review,rating,products,brands,sentiment_score,sentiment
"Tried several low-sodium soups, and along with Amy's low-sodium Tomato this is very good.  Add half ...",4,[],[],0.311,Positive
"I've been looking for malt for a very long time, it is pretty hard to find it stores, so I finally o...",4,[],[],0.116,Positive
This wine aerator works wonders for wine.  It gives a whole new meaning to flavor.  I bought this as...,5,[],[],0.209,Positive
My dog absolutely loves this bone.  It is a bit messy but thats what I think he likes about it.  I w...,5,[],['AWESOME'],0.307,Positive
"I use to buy a lot of this jerquee from Amazon, but for the past two months or more every shipment h...",5,[],['Amazon'],0.27,Positive
"I have tried many many many peppermint and mixed mint teas. This one is the very best, you cannot ge...",5,[],['IBS'],0.515,Positive
"I bought this feta --liked the taste-- but after only a few days after opening it, it became weird l...",1,[],[],-0.091,Neutral
Hello<br /><br />On sale for 62 cents a bag.  Not cheap enough for me. Why won't Amazon put some ext...,5,[],['Amazon'],0.123,Positive
"I've used this product for years, but I have difficulty finding it where I live. Amazon had the prod...",5,[],['Amazon'],0.022,Neutral
"this is the best dressing I have ever had. It is so good, I could almost drink it by itself. I wish ...",5,[],[],0.733,Positive
"These are, the MOST delicious, dried sour cherries we've ever bought!  They are sweetened just enoug...",5,[],[],0.278,Positive
"These are great crackers.  My little guy likes them a lot and best of all, they don't contain any so...",5,[],[],0.537,Positive
The taste is good and not too hot.  My only problem is the sodium in 1 tsp is 260mg or 11% of the da...,4,[],"['IMHO', 'Arrabiata']",0.268,Positive
Wonderful product! I began to use it for my daughter who was about to turn a year old. She took it w...,5,[],['LoL'],0.266,Positive
This product tasted wonderful in my Paleo Pumpkin Pie! Cheapest place I could find it! Will most def...,5,[],[],0.5,Positive
I got this for my cat because I wanted her to eat healthier dry food.  She didn't really seem to enj...,3,[],[],0.273,Positive
"This device does one thing and it does it well. I use it to record demos and it provides a crisp, cl...",4,[],[],0.19,Positive
What's not to like????  I pop this little Kcup in my Keurig out comes a delicious cup of Columbian c...,5,[],[],0.422,Positive
We just tried the Red Curry Noodles yesterday (haven't tried others; maybe they're good) and we were...,1,[],[],-0.069,Neutral
The best of the gluten-free pancake mixes for sure and taste just as good as the wheat pancake mixes...,5,[],[],0.733,Positive
I mostly used this to make taco meat. I also tried it in chili and it was good. The flavor is good b...,5,[],['Redi-Burger'],0.617,Positive
Amazon delivers this product very quickly -- two or three days (to Philadelphia).  The peanut butter...,5,[],"['Amazon', 'PROBLEM']",0.159,Positive
"Always hit or miss tryng to find flavored decaf coffee in the shops.  But, from the net, you're not ...",5,[],[],0.188,Positive
The product worked well to thicken juice from a dish.  It would have been better to have suggested d...,4,[],[],0.5,Positive
My husband tested + for Celiac's disease this year and we've been trying ALL of the gluten free prod...,1,[],[],0.091,Neutral
I've purchased this tea several times and love it.  I took one of the cans to work.  Several of my c...,5,[],[],0.257,Positive
$15 dollars for a case of Fresca?  I can get it for $4 to $5 dollars a case at WalMart.,1,[],"['Fresca', 'WalMart']",0.0,Neutral
Great Stuff tastes great and has given me back a favorite treat I lost when I became a diabetic!/Lot...,5,[],[],0.556,Positive
"This product is excellent, and fairly priced.  I am very happy with the taste and quality.  It's ver...",5,[],[],0.625,Positive
"This stuff is great. My family can not tell the difference between this, McCainns and Honeyville Far...",5,[],['McCainns and Honeyville Farms'],0.35,Positive
This makes popping popcorn easy - everything's premeasured and the popcorn tastes just like what you...,5,[],[],0.433,Positive
I am a half-caf drinker and I brew one cup of this Donut House Decaf and one cup of Donut House regu...,5,['Subscribe'],['Donut House'],0.542,Positive
